Date,Total Pembayaran,total_qty,Is_Cancelled
2024-09-17,1273414,61,0.13793103448275862
2024-09-18,2571407,174,0.075
2024-09-19,1553793,72,0.13793103448275862
2024-09-20,1511412,74,0.20689655172413793
2024-09-21,1451140,82,0.1388888888888889
2024-09-22,3781131,199,0.20588235294117646
2024-09-23,2396921,100,0.16129032258064516
2024-09-24,1915917,113,0.16666666666666666
2024-09-25,3468224,83,0.20512820512820512
2024-09-26,2866305,62,0.24
2024-09-27,2221646,73,0.20588235294117646
2024-09-28,4665267,268,0.058823529411764705
2024-09-29,1376526,58,0.16666666666666666
2024-09-30,2416074,108,0.1111111111111111
2024-10-01,1770575,100,0.18421052631578946
2024-10-02,2101058,76,0.1509433962264151
2024-10-03,2249824,156,0.08823529411764706
2024-10-04,2782399,138,0.13513513513513514
2024-10-05,1125722,67,0.08823529411764706
2024-10-06,1578449,76,0.17777777777777778
2024-10-07,4501096,105,0.14285714285714285
2024-10-08,2725484,137,0.0
2024-10-09,4275857,73,0.025
2024-10-10,4387960,233,0.09433962264150944
2024-10-11,3067153,263,0.17647058823529413
2024-10-12,1093094,56,0.1875
2024-10-13,961485,44,0.08695652173913043
2024-10-14,1530984,81,0.2
2024-10-15,1875031,53,0.058823529411764705
2024-10-16,2276566,81,0.16129032258064516
2024-10-17,1780135,104,0.1794871794871795
2024-10-18,1430499,73,0.1951219512195122
2024-10-19,1932041,93,0.13333333333333333
2024-10-20,3603814,147,0.1702127659574468
2024-10-21,2701937,111,0.12727272727272726
2024-10-22,2605869,60,0.12
2024-10-23,2516435,93,0.13157894736842105
2024-10-24,1845595,37,0.12
2024-10-25,1830874,76,0.14285714285714285
2024-10-26,1724615,175,0.12903225806451613
2024-10-27,1471999,80,0.23076923076923078
2024-10-28,1494465,60,0.1875
2024-10-29,2163723,99,0.058823529411764705
2024-10-30,1223771,73,0.11428571428571428
2024-10-31,1815746,69,0.12903225806451613
2024-11-01,3045578,82,0.23529411764705882
2024-11-02,1669371,84,0.15217391304347827
2024-11-03,730161,48,0.23076923076923078
2024-11-04,2291902,93,0.125
2024-11-05,1405103,122,0.125
2024-11-06,1129294,93,0.1875
2024-11-07,1243280,99,0.16279069767441862
2024-11-08,1230198,49,0.043478260869565216
2024-11-09,1686225,64,0.12903225806451613
2024-11-10,1465507,92,0.027777777777777776
2024-11-11,4206958,240,0.15584415584415584
2024-11-12,3196663,60,0.14705882352941177
2024-11-13,1548841,59,0.041666666666666664
2024-11-14,1791180,30,0.09090909090909091
2024-11-15,1715819,66,0.1724137931034483
2024-11-16,3656603,108,0.10344827586206896
2024-11-17,1778228,96,0.08695652173913043
2024-11-18,1239490,57,0.17647058823529413
2024-11-19,1898053,119,0.06451612903225806
2024-11-20,452301,36,0.35294117647058826
2024-11-21,878329,42,0.08333333333333333
2024-11-22,1369635,62,0.10714285714285714
2024-11-23,2214749,82,0.2
2024-11-24,1398211,76,0.14285714285714285
2024-11-25,2208886,133,0.06382978723404255
2024-11-26,1337668,74,0.11764705882352941
2024-11-27,2031580,113,0.22916666666666666
2024-11-28,1615850,81,0.125
2024-11-29,1737752,90,0.16216216216216217
2024-11-30,2734525,84,0.13333333333333333
2025-01-01,1663792,105,0.05970149253731343
2025-01-02,4447471,152,0.27631578947368424
2025-01-03,1363625,85,0.16666666666666666
2025-01-04,2250084,90,0.11764705882352941
2025-01-05,990147,78,0.12195121951219512
2025-01-06,1715198,95,0.16
2025-01-07,1503984,106,0.1
2025-01-08,1386597,110,0.10526315789473684
2025-01-09,1628458,87,0.05
2025-01-10,1397426,48,0.09090909090909091
2025-01-11,864441,55,0.0
2025-01-12,3443555,140,0.17857142857142858
2025-01-13,1974750,95,0.08108108108108109
2025-01-14,1219626,65,0.14814814814814814
2025-01-15,3978674,95,0.07894736842105263
2025-01-16,2638115,54,0.10344827586206896
2025-01-17,424782,27,0.1875
2025-01-18,1210158,51,0.13793103448275862
2025-01-19,1638812,95,0.15789473684210525
2025-01-20,967755,49,0.1
2025-01-21,2111030,182,0.10526315789473684
2025-01-22,846354,60,0.047619047619047616
2025-01-23,1320431,43,0.06666666666666667
2025-01-24,1959282,141,0.11764705882352941
2025-01-25,935054,71,0.07692307692307693
2025-01-26,877451,50,0.24
2025-01-27,738672,49,0.1935483870967742
2025-01-28,1297119,72,0.09302325581395349
2025-01-29,1043074,78,0.15
2025-01-30,4185205,67,0.08571428571428572
2025-01-31,1219510,77,0.2
2025-02-01,1441948,66,0.06666666666666667
2025-02-02,2302907,158,0.12048192771084337
2025-02-03,2200143,88,0.18
2025-02-04,1055720,75,0.09090909090909091
2025-02-05,4626624,82,0.05714285714285714
2025-02-06,805077,69,0.12
2025-02-07,3583232,207,0.030303030303030304
2025-02-08,1950566,112,0.13953488372093023
2025-02-09,2489380,53,0.23333333333333334
2025-02-10,1508546,131,0.20454545454545456
2025-02-11,1218134,119,0.14705882352941177
2025-02-12,3840280,118,0.02631578947368421
2025-02-13,1408727,80,0.13333333333333333
2025-02-14,1993546,95,0.13157894736842105
2025-02-15,978449,64,0.14285714285714285
2025-02-16,1201390,46,0.11538461538461539
2025-02-17,1830426,74,0.06060606060606061
2025-02-18,1929859,70,0.22857142857142856
2025-02-19,2135397,63,0.075
2025-02-20,1620823,136,0.05263157894736842
2025-02-21,1145976,88,0.125
2025-02-22,1439565,50,0.13043478260869565
2025-02-23,1875393,34,0.11764705882352941
2025-02-24,2994978,135,0.09375
2025-02-25,874347,63,0.26666666666666666
2025-02-26,2175208,202,0.23076923076923078
2025-02-27,1277729,69,0.14285714285714285
2025-02-28,1183656,46,0.05555555555555555
2025-03-01,1314083,66,0.12903225806451613
2025-03-02,908330,42,0.08695652173913043
2025-03-03,2259170,202,0.09615384615384616
2025-03-04,1518512,83,0.16
2025-03-05,1838009,72,0.06896551724137931
2025-03-06,945858,51,0.125
2025-03-07,728952,34,0.20833333333333334
2025-03-08,1797988,155,0.125
2025-03-09,910815,56,0.2903225806451613
2025-03-10,2393824,553,0.09090909090909091
2025-03-11,2161131,293,0.20833333333333334
2025-03-12,1473392,81,0.09090909090909091
2025-03-13,4425339,143,0.14285714285714285
2025-03-14,4728435,287,0.09090909090909091
2025-03-15,1008850,55,0.16
2025-03-16,2745811,122,0.17142857142857143
2025-03-17,5012628,294,0.2777777777777778
2025-03-18,796239,81,0.2222222222222222
2025-03-19,1123207,30,0.125
2025-03-20,920788,65,0.21428571428571427
2025-03-21,3191972,58,0.20833333333333334
2025-03-22,622467,39,0.22727272727272727
2025-03-23,525362,31,0.07692307692307693
2025-03-24,108100,3,0.5
2025-03-25,230508,20,0.75
2025-03-26,0,55,1.0
2025-03-27,0,1,1.0
2025-03-28,0,4,1.0
2025-03-30,0,40,1.0
2025-04-02,0,19,1.0
2025-04-03,0,10,1.0
2025-04-04,762038,54,0.25
2025-04-05,773739,68,0.25925925925925924
2025-04-06,1246302,66,0.16
2025-04-07,867209,73,0.25
2025-04-08,3760907,193,0.15
2025-04-09,1306720,104,0.1724137931034483
2025-04-10,2060193,130,0.13636363636363635
2025-04-11,902778,57,0.17647058823529413
2025-04-12,1241946,56,0.16666666666666666
2025-04-13,863624,56,0.14705882352941177
2025-04-14,3140448,91,0.15217391304347827
2025-04-15,1303299,71,0.0
2025-04-16,638440,56,0.17142857142857143
2025-04-17,882986,56,0.26666666666666666
2025-04-18,805935,39,0.17391304347826086
2025-04-19,1361805,65,0.2413793103448276
2025-04-20,1524118,61,0.2
2025-04-21,1883743,87,0.09375
2025-04-22,2205543,46,0.14814814814814814
2025-04-23,519706,42,0.28
2025-04-24,853446,64,0.07692307692307693
2025-04-25,930491,70,0.14285714285714285
2025-04-26,781633,48,0.2
2025-04-27,596894,45,0.22727272727272727
2025-04-28,930806,86,0.1388888888888889
2025-04-29,963258,82,0.13333333333333333
2025-04-30,1969652,66,0.17391304347826086
2025-05-01,656912,48,0.16666666666666666
2025-05-02,755477,50,0.19230769230769232
2025-05-03,1726464,50,0.18518518518518517
2025-05-04,880878,31,0.18181818181818182
2025-05-05,851812,82,0.15384615384615385
2025-05-06,1828290,59,0.16
2025-05-07,910133,60,0.15384615384615385
2025-05-08,427903,32,0.1111111111111111
2025-05-09,1940146,40,0.23076923076923078
2025-05-10,583278,42,0.14814814814814814
2025-05-11,833151,39,0.18181818181818182
2025-05-12,580847,42,0.25925925925925924
2025-05-13,405003,54,0.28
2025-05-14,1808457,65,0.14705882352941177
2025-05-15,936217,71,0.3333333333333333
2025-05-16,701605,47,0.20833333333333334
2025-05-17,2148784,155,0.16
2025-05-18,369632,43,0.4090909090909091
2025-05-19,745042,51,0.24242424242424243
2025-05-20,501350,42,0.27586206896551724
2025-05-21,1219866,102,0.08108108108108109
2025-05-22,630908,46,0.1724137931034483
2025-05-23,741091,36,0.18181818181818182
2025-05-24,1074581,50,0.25
2025-05-25,470568,54,0.21875
2025-05-26,648733,53,0.3142857142857143
2025-05-27,966653,46,0.10714285714285714
2025-05-28,2438783,50,0.23809523809523808
2025-05-29,293539,49,0.23809523809523808
2025-05-30,572439,36,0.25
2025-05-31,490864,18,0.3333333333333333
2025-06-01,1553093,69,0.11764705882352941
2025-06-02,921298,46,0.12
2025-06-03,1058497,63,0.15384615384615385
2025-06-04,2488280,43,0.04
2025-06-05,582665,33,0.2
2025-06-06,668944,59,0.15384615384615385
2025-06-07,1587301,57,0.1
2025-06-08,334625,31,0.11764705882352941
2025-06-09,1070034,49,0.125
2025-06-10,3191186,32,0.23529411764705882
2025-06-11,376434,49,0.1
2025-06-12,589064,42,0.18181818181818182
2025-06-13,341259,25,0.13333333333333333
2025-06-14,332989,38,0.16666666666666666
2025-06-15,721640,30,0.125
2025-06-16,633290,48,0.045454545454545456
2025-06-17,2987728,94,0.2
2025-06-18,771602,41,0.18518518518518517
2025-06-19,1382521,25,0.13333333333333333
2025-06-20,330900,16,0.09090909090909091
2025-06-21,486201,23,0.125
2025-06-22,325950,36,0.0
2025-06-23,3879206,241,0.16666666666666666
2025-06-24,666767,42,0.17391304347826086
2025-06-25,559328,47,0.24242424242424243
2025-06-26,316659,43,0.3684210526315789
2025-06-27,571623,41,0.2
2025-06-28,594815,25,0.1111111111111111
2025-06-29,418530,42,0.2727272727272727
2025-06-30,834067,41,0.09523809523809523
2025-08-01,772001,62,0.037037037037037035
2025-08-02,1066905,39,0.043478260869565216
2025-08-03,1469179,71,0.13636363636363635
2025-08-04,4597026,166,0.13333333333333333
2025-08-05,1126425,126,0.12121212121212122
2025-08-06,909354,51,0.11764705882352941
2025-08-07,2436624,67,0.11428571428571428
2025-08-08,3279273,104,0.13953488372093023
2025-08-09,1148827,42,0.037037037037037035
2025-08-10,1283576,75,0.06451612903225806
2025-08-11,1176085,81,0.14814814814814814
2025-08-12,1263011,63,0.08333333333333333
2025-08-13,2645938,83,0.04
2025-08-14,1041460,63,0.0
2025-08-15,943203,49,0.07692307692307693
2025-08-16,2542433,54,0.04
2025-08-17,1402582,112,0.16
2025-08-18,2154100,59,0.19230769230769232
2025-08-19,2252757,58,0.10344827586206896
2025-08-20,1144791,54,0.0
2025-08-21,1021932,64,0.06451612903225806
2025-08-22,1232440,77,0.09090909090909091
2025-08-23,1041255,64,0.1111111111111111
2025-08-24,1325015,75,0.15625
2025-08-25,1203985,87,0.16279069767441862
2025-08-26,981164,46,0.038461538461538464
2025-08-27,1652779,61,0.05263157894736842
2025-08-28,539396,61,0.09523809523809523
2025-08-29,1077212,59,0.0
2025-08-30,1263309,81,0.12
2025-08-31,956379,53,0.10714285714285714
2025-09-01,801260,59,0.11538461538461539
2025-09-02,1372441,61,0.058823529411764705
2025-09-03,1747214,208,0.13636363636363635
2025-09-04,1635748,76,0.1
2025-09-05,2089629,162,0.125
2025-09-06,1209730,70,0.06060606060606061
2025-09-07,1434273,68,0.08333333333333333
2025-09-08,2676883,71,0.02631578947368421
2025-09-09,2381340,136,0.10294117647058823
2025-09-10,2702569,89,0.08333333333333333
2025-09-11,979661,88,0.12195121951219512
2025-09-12,933494,41,0.07142857142857142
2025-09-13,879085,100,0.12903225806451613
2025-09-14,665849,51,0.14285714285714285
2025-09-15,2112983,115,0.038461538461538464
2025-09-16,1625278,45,0.1
2025-09-17,1978677,82,0.1
2025-09-18,1574524,74,0.06521739130434782
2025-09-19,1921894,125,0.2
2025-09-20,912630,51,0.17647058823529413
2025-09-21,1275601,67,0.14285714285714285
2025-09-22,1083398,66,0.15151515151515152
2025-09-23,1514452,106,0.030303030303030304
2025-09-24,853152,49,0.1935483870967742
2025-09-25,2671399,95,0.08888888888888889
2025-09-26,3682465,119,0.05
2025-09-27,1421565,78,0.10810810810810811
2025-09-28,612004,41,0.041666666666666664
2025-09-29,536842,30,0.08695652173913043
2025-09-30,1770562,77,0.12195121951219512
2025-10-01,1745747,123,0.21739130434782608
2025-10-02,3125054,68,0.125
2025-10-03,3655232,102,0.10416666666666667
2025-10-04,1942146,101,0.09302325581395349
2025-10-05,2224758,77,0.04878048780487805
2025-10-06,1348222,84,0.0
2025-10-07,1336077,82,0.0
2025-10-08,6313116,115,0.05
2025-10-09,1785350,92,0.08108108108108109
2025-10-10,2533067,110,0.17777777777777778
2025-10-11,1071016,76,0.14285714285714285
2025-10-12,697307,54,0.07894736842105263
2025-10-13,4403804,84,0.025
2025-10-14,1012780,55,0.10714285714285714
2025-10-15,929533,38,0.2
2025-10-16,945517,53,0.07142857142857142
2025-10-17,1347031,49,0.13636363636363635
2025-10-18,1359306,104,0.13157894736842105
2025-10-19,1112703,87,0.13157894736842105
2025-10-20,2361793,63,0.04878048780487805
2025-10-21,1220662,89,0.10526315789473684
2025-10-22,3021171,74,0.11627906976744186
2025-10-23,1631056,98,0.08
2025-10-24,1339005,74,0.0
2025-10-25,842315,52,0.08571428571428572
2025-10-26,627006,43,0.034482758620689655
2025-10-27,1830883,82,0.0975609756097561
2025-10-28,1531535,74,0.058823529411764705
2025-10-29,4958502,150,0.08695652173913043
2025-10-30,1180303,56,0.05555555555555555
2025-10-31,2032657,52,0.23076923076923078
2025-11-01,1590171,113,0.027777777777777776
2025-11-02,878591,80,0.14634146341463414
2025-11-03,1918712,95,0.05405405405405406
2025-11-04,3209583,159,0.07692307692307693
2025-11-05,2984946,60,0.10810810810810811
2025-11-06,1945403,82,0.10810810810810811
2025-11-07,1134004,78,0.15384615384615385
2025-11-08,733300,64,0.17857142857142858
2025-11-09,1593975,182,0.075
2025-11-10,2214649,102,0.12
2025-11-11,1765350,99,0.07317073170731707
2025-11-12,1121269,84,0.07692307692307693
2025-11-13,633213,55,0.08
2025-11-14,997628,62,0.08823529411764706
2025-11-15,2355945,85,0.21951219512195122
2025-11-16,1799600,71,0.10256410256410256
2025-11-17,1213168,73,0.06818181818181818
2025-11-18,887365,66,0.20930232558139536
2025-11-19,1222119,86,0.09523809523809523
2025-11-20,1525865,82,0.16326530612244897
2025-11-21,2036782,128,0.375
2025-11-22,1573482,103,0.3333333333333333
2025-11-23,1059182,70,0.4482758620689655
2025-11-24,804873,243,0.4827586206896552
2025-11-25,2439263,86,0.82
2025-11-26,1063343,63,1.0
2025-11-27,1467821,79,0.9722222222222222
2025-11-28,759621,61,1.0
2025-11-29,1166016,59,1.0
2025-11-30,1293072,72,1.0
